tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
7983132,60,3,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7983132,60,2,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
28455200,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
49303500,45,34,Open Tender,Social Welfare Department,2016-2017,
48126000,45,32,Open Tender,Social Welfare Department,2016-2017,
49162500,45,31,Open Tender,Social Welfare Department,2016-2017,
17175000,45,15,Open Tender,Social Welfare Department,2016-2017,
13776600,45,12,Open Tender,Social Welfare Department,2016-2017,
15082800,45,18,Open Tender,Social Welfare Department,2016-2017,
12602400,45,19,Open Tender,Social Welfare Department,2016-2017,
24323000,45,6,Open Tender,Social Welfare Department,2016-2017,
24541000,45,8,Open Tender,Social Welfare Department,2016-2017,
40626978,45,9,Open Tender,Social Welfare Department,2016-2017,
10551535,45,11,Open Tender,Social Welfare Department,2016-2017,
14611457,45,12,Open Tender,Social Welfare Department,2016-2017,
16291520,45,11,Open Tender,Social Welfare Department,2016-2017,
36054681,45,8,Open Tender,Social Welfare Department,2016-2017,
44445100,45,8,Open Tender,Social Welfare Department,2016-2017,
42081156,45,7,Open Tender,Social Welfare Department,2016-2017,
27926544,45,6,Open Tender,Social Welfare Department,2016-2017,
0,45,96,Open Tender,Social Welfare Department,2016-2017,
40400000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
63832354,90,6,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
34882120,90,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
38370332,90,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
49401164,90,6,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
55576310,90,6,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
10000000,90,8,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
10830553,180,4,Open Tender,National Health Mission,2016-2017,
7203000,180,8,Open Tender,National Health Mission,2016-2017,
5781000,180,2,Open Tender,National Health Mission,2016-2017,
6839000,180,4,Open Tender,National Health Mission,2016-2017,
7234000,180,7,Open Tender,National Health Mission,2016-2017,
5421000,180,5,Open Tender,National Health Mission,2016-2017,
2585000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
2000000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
5000000,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
5000,365,1,Open Tender,Health and Family Welfare Department,2016-2017,
0,180,0,Open Tender,Gauhati High Court - Guwahati,2016-2017,
1500000,60,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,90,13,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
5000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
47191000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
20000000,540,3,Open Tender,Industries and Commerce Department,2016-2017,
34747420,180,2,Open Tender,Irrigation Department,2016-2017,
38252197,225,3,Open Tender,Department of Tourism,2016-2017,
215848000,180,2,Open Tender,Urban Development Department,2016-2017,
19832569,225,3,Open Tender,Department of Tourism,2016-2017,
1050000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
725000,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
19832569,225,0,Open Tender,Department of Tourism,2016-2017,
50600000,90,7,Open Tender,National Health Mission,2016-2017,
374901432,225,2,Open Tender,Department of Tourism,2016-2017,
343510,180,4,Open Tender,Department of Water Resources,2016-2017,
6000000,90,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
2600000,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
18000000,90,9,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
17000000,90,9,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
10859920,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
6839000,180,4,Open Tender,National Health Mission,2016-2017,
32400000,90,0,Open Tender,Tea Tribes Welfare Department,2016-2017,
13150000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
29300000,180,1,Global Tenders,Public Works Building and NH Department,2016-2017,
3020099,180,4,Open Tender,Soil Conservation Department,2016-2017,
9816884,180,6,Open Tender,Soil Conservation Department,2016-2017,
3020099,180,3,Open Tender,Soil Conservation Department,2016-2017,
7592690,180,6,Open Tender,Soil Conservation Department,2016-2017,
4754288,180,7,Open Tender,Soil Conservation Department,2016-2017,
5734380,180,3,Open Tender,Soil Conservation Department,2016-2017,
3873852,180,7,Open Tender,Soil Conservation Department,2016-2017,
6114486,180,9,Open Tender,Soil Conservation Department,2016-2017,
6500000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
25714500,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
0,365,2,Open Tender,Industries and Commerce Department,2016-2017,
11000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
0,180,0,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,6,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,2,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,12,Open Tender,Gauhati High Court - Guwahati,2016-2017,
8000000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
1050000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
1200000,75,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,90,26,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
