tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
23137830,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4144817,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3592072,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9982135,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9823475,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9938999,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9998348,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4799004,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
29799176,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3698138,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4833186,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9683888,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
4859200,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
3260100,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
2477580,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
2112490,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
17900000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
4620962,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6614976,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2439998,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4706235,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
24938507,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8592846,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2087826,180,3,Open Tender,National Health Mission,2016-2017,
2624026,180,1,Open Tender,National Health Mission,2016-2017,
11811008,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
2258641,180,1,Open Tender,National Health Mission,2016-2017,
9709100,180,6,Open Tender,Department of Tourism,2016-2017,
19832569,180,3,Open Tender,Department of Tourism,2016-2017,
10800619,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,6,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,4,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,5,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,5,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,2,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,7,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
69214000,180,0,Open Tender,Public Works Roads Department,2016-2017,
52191000,180,1,Open Tender,Public Works Roads Department,2016-2017,
10800619,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,3,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,5,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
2875275,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
3404064,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
7387194,180,7,Open Tender,Department of Water Resources,2016-2017,
7248907,180,7,Open Tender,Department of Water Resources,2016-2017,
6817139,180,8,Open Tender,Department of Water Resources,2016-2017,
6692938,180,13,Open Tender,Department of Water Resources,2016-2017,
1120297,180,8,Open Tender,Department of Water Resources,2016-2017,
5600300,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
79220563,180,9,Open Tender,Public Works Building and NH Department,2016-2017,
0,45,5,Open Tender,Taxation Department,2016-2017,
5000000,60,4,Open Tender,Directorate of Sports and Youth Welfare - Assam,2016-2017,
7715300,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
0,90,3,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,5,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,3,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,5,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
2535757,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2674195,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4728127,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6930830,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4757565,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
1893664,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3954364,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499774,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3685838,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3396411,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8535320,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3175727,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9870301,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9978766,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
32548052,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4894747,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5688969,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3960419,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7189891,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4136215,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
42000000,90,12,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,180,4,Open Tender,Assam Police,2016-2017,
2160000,90,1,Open Tender,Directorate of Sports and Youth Welfare - Assam,2016-2017,
0,365,18,Open Tender,Health and Family Welfare Department,2016-2017,
16951761,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
41060000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2925000,120,0,Open Tender,National Health Mission,2016-2017,
18300000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
4650000,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
16150000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
4150000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
9820000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9354992,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9596906,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9792385,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
18273000,180,4,Open Tender,Department of Water Resources,2016-2017,
27884722,180,2,Open Tender,Department of Water Resources,2016-2017,
8179463,180,4,Open Tender,Department of Water Resources,2016-2017,
4362943,180,8,Open Tender,Department of Water Resources,2016-2017,
409772,180,3,Open Tender,Department of Water Resources,2016-2017,
493168,180,3,Open Tender,Department of Water Resources,2016-2017,
3395226,180,7,Open Tender,Department of Water Resources,2016-2017,
2702047,180,5,Open Tender,Department of Water Resources,2016-2017,
18131501,180,4,Open Tender,Department of Water Resources,2016-2017,
1744156,180,12,Open Tender,Department of Water Resources,2016-2017,
1043326,180,11,Open Tender,Department of Water Resources,2016-2017,
9861355,180,9,Open Tender,Department of Water Resources,2016-2017,
17613440,180,11,Open Tender,Department of Water Resources,2016-2017,
73315858,180,6,Open Tender,Department of Water Resources,2016-2017,
9389907,180,16,Open Tender,Department of Water Resources,2016-2017,
17963438,180,9,Open Tender,Department of Water Resources,2016-2017,
9499194,180,14,Open Tender,Department of Water Resources,2016-2017,
7907747,180,3,Open Tender,Department of Water Resources,2016-2017,
14757831,180,4,Open Tender,Department of Water Resources,2016-2017,
9038832,180,3,Open Tender,Department of Water Resources,2016-2017,
8788009,180,8,Open Tender,Department of Water Resources,2016-2017,
6969931,180,4,Open Tender,Department of Water Resources,2016-2017,
0,180,6,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
99527260,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
64999222,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
0,90,1,Open Tender,Elementary Education Department,2016-2017,
9000000,180,2,Open Tender,Industries and Commerce Department,2016-2017,
1500000,180,4,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
1500000,180,4,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
36653660,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
43874024,180,1,Open Tender,National Health Mission,2016-2017,
0,180,18,Open Tender,Assam Police,2016-2017,
5367826,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2983051,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
6703849,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2669490,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2263492,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
5302070,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
1036138,180,3,Open Tender,Industries and Commerce Department,2016-2017,
2193125,180,4,Open Tender,Industries and Commerce Department,2016-2017,
2481717,180,1,Open Tender,Industries and Commerce Department,2016-2017,
3000000,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
1000000,90,0,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,90,14,Open Tender,Health and Family Welfare Department,2016-2017,
5018000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
0,365,0,Open Tender,Health and Family Welfare Department,2016-2017,
99000000,120,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
0,45,5,Open Tender,Assam Society for Comprehensive Financial Management System,2016-2017,
15000000,180,3,Open Tender,Guwahati Smart City Ltd.,2016-2017,
3465000,180,2,Open Tender,Bodoland Territorial Council,2016-2017,
3465000,180,0,Open Tender,Bodoland Territorial Council,2016-2017,
2189611,180,2,Open Tender,Bodoland Territorial Council,2016-2017,
29380830,180,0,Open Tender,Department of Fisheries,2016-2017,
17488514,180,0,Open Tender,Department of Fisheries,2016-2017,
0,90,5,Open Tender,Health and Family Welfare Department,2016-2017,
2455250,180,0,Open Tender,Department of Fisheries,2016-2017,
4620360,180,0,Open Tender,Department of Fisheries,2016-2017,
0,365,3,Open Tender,Industries and Commerce Department,2016-2017,
5100000,90,3,Open Tender,Industries and Commerce Department,2016-2017,
13844970,180,6,Open Tender,Public Works Building and NH Department,2016-2017,
10169025,180,9,Open Tender,Department of Fisheries,2016-2017,
29380830,180,9,Open Tender,Department of Fisheries,2016-2017,
17488514,180,6,Open Tender,Department of Fisheries,2016-2017,
11133365,180,8,Open Tender,Department of Fisheries,2016-2017,
2455250,180,5,Open Tender,Department of Fisheries,2016-2017,
11133365,180,0,Open Tender,Department of Fisheries,2016-2017,
52444000,180,2,Open Tender,Public Works Roads Department,2016-2017,
3500000,225,3,Open Tender,National Health Mission,2016-2017,
3500000,225,3,Open Tender,National Health Mission,2016-2017,
3500000,225,4,Open Tender,National Health Mission,2016-2017,
3500000,225,3,Open Tender,National Health Mission,2016-2017,
3500000,225,3,Open Tender,National Health Mission,2016-2017,
3500000,225,4,Open Tender,National Health Mission,2016-2017,
3494000,225,3,Open Tender,National Health Mission,2016-2017,
2989029,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4950391,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7000000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8924100,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9036195,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7574993,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9982135,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9823475,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9938999,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9998348,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8049999,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8469999,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
26836000,180,3,Open Tender,Public Works Roads Department,2016-2017,
21728590,180,5,Open Tender,Cooperation Department,2016-2017,
15229000,180,2,Open Tender,Public Works Roads Department,2016-2017,
84887817,180,0,Open Tender,Public Works Roads Department,2016-2017,
19700000,180,3,Open Tender,Public Works Roads Department,2016-2017,
12000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
13396000,180,3,Open Tender,Public Works Roads Department,2016-2017,
22957000,180,4,Open Tender,Public Works Roads Department,2016-2017,
19174796,180,4,Open Tender,Cooperation Department,2016-2017,
19995000,180,1,Open Tender,Public Works Roads Department,2016-2017,
10000000,180,0,Open Tender,Public Works Roads Department,2016-2017,
14000000,180,3,Open Tender,Public Works Roads Department,2016-2017,
20991000,180,1,Open Tender,Public Works Roads Department,2016-2017,
143485319,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
15779048,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5526574,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5526574,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5526574,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5526574,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7905145,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8958737,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
36329000,180,1,Open Tender,Public Works Roads Department,2016-2017,
29999700,180,3,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
17500000,180,2,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,3,Open Tender,Public Works Roads Department,2016-2017,
14508000,180,0,Open Tender,Public Works Roads Department,2016-2017,
23769000,180,1,Open Tender,Public Works Roads Department,2016-2017,
23257000,180,1,Open Tender,Public Works Roads Department,2016-2017,
27333000,180,1,Open Tender,Public Works Roads Department,2016-2017,
15062000,180,2,Open Tender,Public Works Roads Department,2016-2017,
15728000,180,3,Open Tender,Public Works Roads Department,2016-2017,
18639000,180,1,Open Tender,Public Works Roads Department,2016-2017,
19820000,180,1,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
30000000,180,1,Open Tender,Public Works Roads Department,2016-2017,
0,180,4,Open Tender,Industries and Commerce Department,2016-2017,
106075563,180,12,Open Tender,Department of Water Resources,2016-2017,
6000000,150,4,Open Tender,National Health Mission,2016-2017,
4986500,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
15000000,180,4,Open Tender,Department of Water Resources,2016-2017,
70000000,180,2,Open Tender,Department of Water Resources,2016-2017,
36199409,180,6,Open Tender,Department of Water Resources,2016-2017,
3305113,180,26,Open Tender,Department of Water Resources,2016-2017,
8799935,180,4,Open Tender,Department of Water Resources,2016-2017,
13218277,180,4,Open Tender,Department of Water Resources,2016-2017,
10096608,180,7,Open Tender,Department of Water Resources,2016-2017,
4455000,90,2,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
5000000,90,8,Open Tender,National Health Mission,2016-2017,
6000000,90,7,Open Tender,National Health Mission,2016-2017,
4633816,180,5,Open Tender,Industries and Commerce Department,2016-2017,
1528900,180,3,Open Tender,Industries and Commerce Department,2016-2017,
4712914,180,4,Open Tender,Industries and Commerce Department,2016-2017,
4712914,180,4,Open Tender,Industries and Commerce Department,2016-2017,
2253534,180,4,Open Tender,National Health Mission,2016-2017,
9900997,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
1,60,3,Limited,Industries and Commerce Department,2016-2017,
350932,180,5,Open Tender,Department of Water Resources,2016-2017,
2200000,90,2,Open Tender,National Health Mission,2016-2017,
69214000,180,3,Open Tender,Public Works Roads Department,2016-2017,
52191000,180,2,Open Tender,Public Works Roads Department,2016-2017,
0,180,1,Open Tender,Assam Land Management and Information Society,2016-2017,
18367956,180,4,Open Tender,Department of Water Resources,2016-2017,
74983630,180,4,Open Tender,Department of Water Resources,2016-2017,
7002975,180,3,Open Tender,Department of Water Resources,2016-2017,
7002975,180,1,Open Tender,Department of Water Resources,2016-2017,
6002618,180,2,Open Tender,Department of Water Resources,2016-2017,
19841689,180,5,Open Tender,Department of Water Resources,2016-2017,
20000000,90,3,Open Tender,National Health Mission,2016-2017,
4500000,90,7,Open Tender,National Health Mission,2016-2017,
70000000,150,2,Open Tender,National Health Mission,2016-2017,
8000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
43400000,90,2,Open Tender,National Health Mission,2016-2017,
10000000,90,0,Open Tender,National Health Mission,2016-2017,
2000000,60,1,Open Tender,Industries and Commerce Department,2016-2017,
29593384,180,14,Open Tender,Department of Water Resources,2016-2017,
40247658,180,7,Open Tender,Department of Water Resources,2016-2017,
21134600,90,5,Open Tender,National Health Mission,2016-2017,
16197560,180,1,Open Tender,Department of Water Resources,2016-2017,
3501228,180,9,Open Tender,Department of Water Resources,2016-2017,
3296191,180,3,Open Tender,Department of Water Resources,2016-2017,
1726600,180,0,Open Tender,Department of Water Resources,2016-2017,
0,45,3,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
350000000,365,4,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
9745672,180,6,Open Tender,Public Works Building and NH Department,2016-2017,
5808710,180,8,Open Tender,Department of Water Resources,2016-2017,
45609976,180,7,Open Tender,Department of Water Resources,2016-2017,
13406829,180,6,Open Tender,Department of Water Resources,2016-2017,
118624019,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
2000000000,180,115,Open Tender,National Health Mission,2016-2017,
4722494,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
45511000,365,11,Open Tender,Department of Science and Technology,2016-2017,
12000000,365,41,Open Tender,Food Civil Supplies and Consumer Affairs Department,2016-2017,
6769976,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
6630000,225,0,Open Tender,Soil Conservation Department,2016-2017,
6292750,225,0,Open Tender,Soil Conservation Department,2016-2017,
3557968,225,0,Open Tender,Soil Conservation Department,2016-2017,
4551048,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
5947000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
28396301,180,14,Open Tender,Department of Water Resources,2016-2017,
9384000,180,2,Open Tender,Department of Water Resources,2016-2017,
9594000,180,2,Open Tender,Department of Water Resources,2016-2017,
23371000,180,4,Open Tender,Department of Water Resources,2016-2017,
0,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,4,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
3000000,90,6,Open Tender,National Health Mission,2016-2017,
154943000,180,1,Open Tender,National Health Mission,2016-2017,
181645000,180,1,Open Tender,National Health Mission,2016-2017,
179011000,180,1,Open Tender,National Health Mission,2016-2017,
235576000,180,1,Open Tender,National Health Mission,2016-2017,
0,180,1,Open Tender,Industries and Commerce Department,2016-2017,
0,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
0,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
18577999,180,4,Open Tender,Department of Water Resources,2016-2017,
5890264,180,3,Open Tender,Department of Water Resources,2016-2017,
7461675,180,2,Open Tender,Department of Water Resources,2016-2017,
7683673,180,3,Open Tender,Department of Water Resources,2016-2017,
7640610,180,5,Open Tender,Department of Water Resources,2016-2017,
237629000,180,1,Open Tender,National Health Mission,2016-2017,
138855000,180,2,Open Tender,National Health Mission,2016-2017,
4400000,45,4,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
3124984,180,2,Open Tender,National Health Mission,2016-2017,
6630000,225,6,Open Tender,Soil Conservation Department,2016-2017,
74018000,180,7,Open Tender,National Health Mission,2016-2017,
3557968,225,16,Open Tender,Soil Conservation Department,2016-2017,
44821728,180,14,Open Tender,Department of Water Resources,2016-2017,
5042370,180,19,Open Tender,Department of Water Resources,2016-2017,
5042370,180,15,Open Tender,Department of Water Resources,2016-2017,
402046,180,7,Open Tender,Department of Water Resources,2016-2017,
796790,180,11,Open Tender,Department of Water Resources,2016-2017,
506670,180,4,Open Tender,Department of Water Resources,2016-2017,
508049,180,6,Open Tender,Department of Water Resources,2016-2017,
75163000,180,5,Open Tender,National Health Mission,2016-2017,
73944000,180,2,Open Tender,National Health Mission,2016-2017,
77280000,180,3,Open Tender,National Health Mission,2016-2017,
76051000,180,2,Open Tender,National Health Mission,2016-2017,
70000000,90,0,Open Tender,National Health Mission,2016-2017,
2000000,180,6,Open Tender,Industries and Commerce Department,2016-2017,
6292750,225,11,Open Tender,Soil Conservation Department,2016-2017,
15700000,120,0,Open Tender,Industries and Commerce Department,2016-2017,
0,90,7,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
9820833,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
8000,365,4,Open Tender,Health and Family Welfare Department,2016-2017,
26500000,90,10,Open Tender,National Health Mission,2016-2017,
65163000,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
862000,180,1,Open Tender,Industries and Commerce Department,2016-2017,
1120298,180,8,Open Tender,Department of Water Resources,2016-2017,
8080000,90,0,Auction,Health and Family Welfare Department,2016-2017,
16720500,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
10476700,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
10476700,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
10476700,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
10106500,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
10106500,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
3850385,180,2,Open Tender,Department of Water Resources,2016-2017,
4668687,180,2,Open Tender,Department of Water Resources,2016-2017,
20824996,180,6,Open Tender,Department of Water Resources,2016-2017,
18274953,180,6,Open Tender,Department of Water Resources,2016-2017,
18699997,180,2,Open Tender,Department of Water Resources,2016-2017,
