amount,risk_score,risk_grade,risk_reasons
249000,64.88094143190139,Medium,['No strong anomaly indicator']
583272,56.106850521704295,Medium,['No strong anomaly indicator']
367733,64.1277069247763,Medium,['No strong anomaly indicator']
9118447,6.857410204848627,Low,['No strong anomaly indicator']
1515750,10.104336237574067,Low,['Low bidder competition']
728904,7.105776532916451,Low,['No strong anomaly indicator']
247172,8.14496973344447,Low,['No strong anomaly indicator']
5819415,4.839882839822359,Low,['No strong anomaly indicator']
2321557,5.966351176509214,Low,['No strong anomaly indicator']
8785119,8.900939220499161,Low,['No strong anomaly indicator']
7692449,9.181930501267132,Low,['Low bidder competition']
8775097,14.711814522807664,Low,['No strong anomaly indicator']
6073819,24.590601766447215,Low,['No strong anomaly indicator']
10863684,10.576008174050578,Low,['No strong anomaly indicator']
10927277,8.878482255582277,Low,['No strong anomaly indicator']
25801000,14.216062314487083,Low,['No strong anomaly indicator']
18000000,12.173671993389956,Low,['No strong anomaly indicator']
3500000,39.3384975404693,Low,['No strong anomaly indicator']
2594596,16.674893861438356,Low,['No strong anomaly indicator']
2254061,27.89960338045602,Low,['No strong anomaly indicator']
4004000,19.35759734745102,Low,['No strong anomaly indicator']
17191808,14.843702863773611,Low,['No strong anomaly indicator']
8796815,10.487478383820438,Low,['No strong anomaly indicator']
3512316,19.336712439346478,Low,['No strong anomaly indicator']
3835736,48.86390593945161,Medium,['No strong anomaly indicator']
8213309,21.837355391638873,Low,['No strong anomaly indicator']
4581595,51.320821739946496,Medium,['No strong anomaly indicator']
10021217,18.26329445677398,Low,['No strong anomaly indicator']
6817494,39.484606864185494,Low,['No strong anomaly indicator']
0,65.17786941891397,Medium,['No strong anomaly indicator']
70284000,15.599685010387745,Low,['Unusually high contract value']
19832569,5.70534297649084,Low,['No strong anomaly indicator']
8000,32.78363577766329,Low,['Low bidder competition']
9219000,15.953826137388553,Low,['No strong anomaly indicator']
1268911000,70.98404188439002,High,"['Low bidder competition', 'Unusually high contract value']"
16995710,8.576335013556388,Low,['No strong anomaly indicator']
377414,11.515429204792163,Low,['No strong anomaly indicator']
9808894,9.22938379744572,Low,['Low bidder competition']
9607680,5.282177958703713,Low,['No strong anomaly indicator']
9682619,5.282177958703713,Low,['No strong anomaly indicator']
4401731,5.548275796468872,Low,['No strong anomaly indicator']
4428400,5.287294201681519,Low,['No strong anomaly indicator']
4299454,8.88070577971471,Low,['Low bidder competition']
26055150,11.567144485725727,Low,['No strong anomaly indicator']
366638,8.072048268269775,Low,['No strong anomaly indicator']
3317235,11.096816997516171,Low,['No strong anomaly indicator']
366638,11.221750736674839,Low,['Low bidder competition']
2665852,9.651159132548443,Low,['Low bidder competition']
2947805,5.931287981439475,Low,['No strong anomaly indicator']
488724,16.879016110878638,Low,['No strong anomaly indicator']
2917148,5.931287981439475,Low,['No strong anomaly indicator']
455906,7.344969074596058,Low,['No strong anomaly indicator']
8066911,9.278339031771822,Low,['Low bidder competition']
409772,14.153327541241225,Low,['No strong anomaly indicator']
8179463,9.278339031771822,Low,['Low bidder competition']
1988424,17.572647515476117,Low,['No strong anomaly indicator']
7951296,14.467710845946929,Low,['Low bidder competition']
7276007,5.5613427993422775,Low,['No strong anomaly indicator']
4296367,8.88070577971471,Low,['Low bidder competition']
4487925,6.98434501919828,Low,['No strong anomaly indicator']
4341508,5.5173903890277884,Low,['No strong anomaly indicator']
7391944,9.583968866526178,Low,['No strong anomaly indicator']
4391996,5.287294201681519,Low,['No strong anomaly indicator']
8500000,6.852553281849467,Low,['No strong anomaly indicator']
15394811,8.267846033229901,Low,['No strong anomaly indicator']
7883000,5.13880815072018,Low,['No strong anomaly indicator']
4545851,18.81970882242432,Low,['No strong anomaly indicator']
10511006,14.618659129771363,Low,['No strong anomaly indicator']
2814569,10.497312563265389,Low,['No strong anomaly indicator']
363780,7.384928522451304,Low,['No strong anomaly indicator']
4362943,16.0079914246552,Low,['No strong anomaly indicator']
6274932,9.11554724349513,Low,['No strong anomaly indicator']
485040,11.628280871485074,Low,['No strong anomaly indicator']
18837020,10.703640713927769,Low,['No strong anomaly indicator']
12798895,19.316400082909507,Low,['No strong anomaly indicator']
1930000,15.581903895518682,Low,['Low bidder competition']
4424496,12.042905397416614,Low,['No strong anomaly indicator']
731000,16.533981675135358,Low,['Low bidder competition']
1284808,13.847294513444968,Low,['No strong anomaly indicator']
21859532,12.045288095175518,Low,['No strong anomaly indicator']
21168717,11.916356602447198,Low,['No strong anomaly indicator']
4975559,27.927774931098092,Low,['No strong anomaly indicator']
135920,7.530730859078581,Low,['No strong anomaly indicator']
1464926,16.053812035175252,Low,['No strong anomaly indicator']
4679675,15.913500371199845,Low,['No strong anomaly indicator']
9959763,10.7730002844892,Low,['No strong anomaly indicator']
493168,11.161017060478578,Low,['Low bidder competition']
493168,9.858967557842874,Low,['No strong anomaly indicator']
20533000,8.711184473623291,Low,['No strong anomaly indicator']
30834364,16.339842783481316,Low,['Low bidder competition']
18273000,8.828012449924401,Low,['No strong anomaly indicator']
16179994,8.37869395133778,Low,['No strong anomaly indicator']
24448000,13.465434486231548,Low,['No strong anomaly indicator']
9803783,14.735750531206033,Low,['No strong anomaly indicator']
16474600,14.780443173483786,Low,['No strong anomaly indicator']
6466098,14.804669703947113,Low,['Low bidder competition']
14960445,6.66861757008693,Low,['Low bidder competition']
15245278,6.426630209659265,Low,['Low bidder competition']
9147167,6.238880865070016,Low,['Low bidder competition']
7371277,6.045459404323168,Low,['Low bidder competition']
